dt,Y,M,D,away_team,home_team,away_score,home_score,away_pitcher_id,home_pitcher_id,away_1_id,away_2_id,away_3_id,away_4_id,away_5_id,away_6_id,away_7_id,away_8_id,away_9_id,home_1_id,home_2_id,home_3_id,home_4_id,home_5_id,home_6_id,home_7_id,home_8_id,home_9_id,outcome
2022-04-12,2022,4,12,COL,TEX,4,1,kuhlc001,perem004,joe-c001,blacc001,bryak001,cronc002,rodgb002,gricr001,diaze005,iglej001,hampg001,millb002,semim001,seagc001,garvm001,lowen001,garca005,calhk001,ibLAA001,calhw001,0
2022-04-12,2022,4,12,OAK,TBA,8,9,ollea001,romet001,kempt001,andre001,lowrj001,murps001,brows003,pindc001,mckib001,piscs001,neuss001,loweb001,franw002,choij001,arozr001,lowej002,margm001,philb002,zunim001,wallt003,1
2022-04-12,2022,4,12,TOR,NYA,0,4,kikuy001,cortn001,sprig001,bichb001,guerv002,hernt002,gurrl001,kirka001,chapm001,espis001,heint001,donaj001,judga001,rizza001,stanm004,lemad001,torrg001,hicka001,higak001,kinei001,1
2022-04-12,2022,4,12,LAN,MIN,7,2,heLAA001,archc001,bettm001,freef001,turnt001,muncm001,turnj001,smitw003,bellc002,taylc001,lux-g001,buxtb001,corrc001,polaj001,urshg001,sancg002,keplm001,jeffr002,sanom001,celeg001,0
2022-04-12,2022,4,12,BOS,DET,5,3,hillr001,alext001,herne001,dever001,bogax001,martj006,dalbb001,arroc001,verda001,plawk001,arauj001,grosr001,schoj001,baezj001,candj002,cabrm001,haase001,badda001,torks001,garnd001,0
2022-04-12,2022,4,12,SEA,CHA,2,3,brasm001,velav001,fraza001,frant002,winkj002,hanim001,toroa001,suare001,kelej001,torrl001,crawj002,andet001,robel002,abrej003,grany001,jimee001,sheeg001,garcl004,harrj002,mcgur002,1
2022-04-12,2022,4,12,MIL,BAL,5,4,lauee001,watks003,wongk001,adamw002,yelic001,mccua001,tellr001,renfh001,narvo001,cainl001,petej002,mullc002,mounr001,manct001,haysa001,uriar001,santa003,owinc001,gutik001,chirr001,0
2022-04-12,2022,4,12,HOU,ARI,2,1,garcl007,bumgm001,altuj001,branm003,brega001,gurry001,tuckk001,diaza003,penaj004,castj006,sirij001,varsd001,martk001,perad001,walkc002,smitp002,beers001,alcas002,perdg001,herrj003,0
2022-04-12,2022,4,12,KCA,SLN,5,6,lyncd001,hudsd002,merrw001,wittb002,benia002,peres002,santc002,mondr003,taylm002,lopen001,gallc001,carld002,goldp001,oneit001,arenn001,pujoa001,edmat001,badeh001,dejop001,kniza001,1
2022-04-12,2022,4,12,SDN,SFN,2,13,darvy001,cobba001,grist001,nolaa002,machm001,cronj001,voitl001,hosme001,myerw001,beatm001,abrac001,yastm001,beltb001,ruf-d001,pedej001,crawb001,florw001,estrt001,duggs001,bartj003,1
2022-04-12,2022,4,12,CHN,PIT,2,1,smyld001,quinj001,frazc001,contw001,wisdp001,schwf001,suzus001,madrn001,hermm001,happi001,hoern001,hayek001,reynb001,chavm001,tsuty001,castd004,newmk001,marij002,perer003,tuckc001,0
2022-04-12,2022,4,12,NYN,PHI,2,0,megit002,wheez001,nimmb001,marts002,lindf001,alonp001,escoe001,canor001,canhm001,mcnej002,mccaj001,schwk001,realj001,harpb003,castn001,hoskr001,gregd001,stotb001,camaj001,muzzs001,0
2022-04-12,2022,4,12,CLE,CIN,10,5,biebs001,mahlt001,stram002,kwans001,ramij003,reyef001,rosaa003,millo002,merco003,gimea001,hedga001,indij001,naqut001,phamt001,vottj001,stept001,senzn001,mousm001,farmk001,fralj001,0
2022-04-12,2022,4,12,WAS,ATL,4,16,corbp001,eldeb001,hernc005,sotoj001,bellj005,herny002,ruizk001,franm004,thoml002,fox-l001,roblv001,albio001,olsom001,rilea001,ozunm001,darnt001,duvaa001,swand001,hereg002,arcio002,1
2022-04-12,2022,4,12,MIA,LAA,3,4,luzaj001,sandp002,solej001,rojam002,coopg002,delab001,sancj003,andeb006,stalj001,bertj001,chisj001,ohtas001,troum001,renda001,mayfj001,stasm001,duffm002,adelj001,marsb002,velaa001,1
2022-04-13,2022,4,13,OAK,TBA,4,2,montf001,mccls003,pindc001,lowrj001,piscs001,murps001,brows003,andre001,neuss001,smitk003,pachc001,loweb001,franw002,arozr001,choij001,diazy001,lowej002,margm001,kierk001,mejif001,0
2022-04-13,2022,4,13,TOR,NYA,6,4,berrj001,coleg001,sprig001,bichb001,guerv002,hernt002,gurrl001,kirka001,chapm001,tapir001,espis001,rizza001,judga001,donaj001,gallj002,lemad001,torrg001,hicka001,kinei001,higak001,0
2022-04-13,2022,4,13,LAN,MIN,7,0,kersc001,paddc001,bettm001,freef001,turnt001,muncm001,turnj001,taylc001,bellc002,lux-g001,barna001,buxtb001,arral001,urshg001,polaj001,sancg002,keplm001,sanom001,celeg001,gordn001,0
2022-04-13,2022,4,13,BOS,DET,9,7,eovan001,rodre004,herne001,dever001,stort001,martj006,dalbb001,arroc001,verda001,vazqc001,bradj001,reyev001,meada001,schoj001,candj002,haase001,casth001,torks001,barnt001,badda001,0
2022-04-13,2022,4,13,MIL,BAL,4,2,burnc002,meanj001,mccua001,adamw002,yelic001,renfh001,hiurk001,taylt002,tellr001,brosm001,carav001,mullc002,mounr001,santa003,manct001,uriar001,odorr001,haysa001,matej003,bemba001,0
2022-04-13,2022,4,13,SEA,CHA,4,6,ray-r002,keucd001,toroa001,frant002,hanim001,torrl001,suare001,rodrj007,crawj002,murpt002,moord002,andet001,robel002,abrej003,grany001,jimee001,vauga001,engea001,harrj002,burgj001,1
2022-04-13,2022,4,13,CHN,PIT,2,6,hendk001,thomz001,orter001,schwf001,contw001,happi001,suzus001,heywj001,wisdp001,villj001,hoern001,voged001,reynb001,hayek001,tsuty001,gameb001,newmk001,vanmj001,knapa001,parkh001,1
2022-04-13,2022,4,13,HOU,ARI,2,3,valdf001,kellm002,altuj001,branm003,brega001,tuckk001,gurry001,diaza003,mccoc001,penaj004,maldm001,hummc001,martk001,perad001,walkc002,kellc002,smitp002,mccaj003,herny003,perdg001,1
2022-04-13,2022,4,13,WAS,ATL,3,1,grayj004,friem001,hernc005,sotoj001,cruzn002,bellj005,franm004,thoml002,escoa003,adamr004,roblv001,albio001,olsom001,rilea001,ozunm001,rosae001,duvaa001,swand001,dicka001,pinam001,0
2022-04-13,2022,4,13,SDN,SFN,1,2,mLAAs001,webbl001,grist001,machm001,cronj001,voitl001,hosme001,profj001,myerw001,alfaj002,abrac001,slata001,ruf-d001,florw001,ramoh002,estrt001,dubom001,bartj003,willl001,casac001,1
2022-04-13,2022,4,13,NYN,PHI,9,6,schem001,nolaa001,nimmb001,lindf001,marts002,alonp001,escoe001,smitd008,canhm001,mcnej002,nidot001,schwk001,realj001,harpb003,castn001,seguj002,gregd001,camaj001,stotb001,vierm001,0
2022-04-13,2022,4,13,CLE,CIN,7,3,mcket001,lodon001,stram002,kwans001,ramij003,reyef001,rosaa003,millo002,cleme002,merco003,hedga001,indij001,naqut001,stept001,vottj001,aquia001,farmk001,mousm001,drurb001,fralj001,0
2022-04-14,2022,4,14,LAA,TEX,5,10,ohtas001,dunnd001,ohtas001,troum001,walsj001,renda001,marsb002,stasm001,rojaj002,wadet002,velaa001,millb002,semim001,seagc001,garvm001,lowen001,garca005,calhk001,calhw001,heimj001,1
2022-04-14,2022,4,14,OAK,TBA,6,3,irvic001,flemj001,kempt001,pindc001,murps001,neuss001,mckib001,andre001,smitk003,allea001,pachc001,diazy001,franw002,ramih004,arozr001,loweb001,margm001,zunim001,kierk001,wallt003,0
2022-04-14,2022,4,14,TOR,NYA,0,3,gausk001,sevel001,sprig001,bichb001,guerv002,gurrl001,tapir001,kirka001,biggc002,espis001,zimmb001,donaj001,judga001,rizza001,stanm004,lemad001,gallj002,torrg001,kinei001,trevj001,1
2022-04-14,2022,4,14,SEA,CHA,5,1,gilbl002,lambj003,fraza001,frant002,winkj002,hanim001,crawj002,suare001,kelej001,rodrj007,ralec001,andet001,robel002,abrej003,sheeg001,vauga001,garcl004,mcgur002,engea001,burgj001,0
